CHAVE_INTERNA,PORTUGUES,INGLES,NORUEGUES
action.btn1,"Ver Programação","See Schedule","Se Program"
action.btn2,"Quero apoiar o projeto","I want to support the project","Jeg vil støtte prosjektet"
action.desc,"Encontre um workshop, uma aula, o seu lugar. O corpo sabe o caminho, basta começar.","Find a workshop, a class, your place. The body knows the way, just start.","Finn en workshop, en klasse, din plass. Kroppen vet veien, bare begynn."
action.kicker,"O próximo passo é simples","The next step is simple","Neste steg er enkelt"
action.title.p1,"Venha se","Come","Kom og"
action.title.p2,"mover.","move.","beveg deg."
actions.back,"Voltar","Back","Tilbake"
actions.book,"Agendar","Book now","Bestill"
actions.contact_us,"Fale Conosco","Contact Us","Kontakt oss"
actions.details,"Detalhes","Details","Detaljer"
actions.learn_more,"Saiba mais","Learn more","Les mer"
actions.ready_to_start,"Pronto para começar?","Ready to start?","Klar til å begynne?"
actions.view_dates,"Ver datas disponíveis","View available dates","Se ledige datoer"
activities.card1.desc,"Cada corpo carrega uma dança que ainda não se atreveu a sair. Estes workshops são o espaço onde movimento, presença e expressão a trazem à luz.","Every body carries a dance it hasn't yet dared to step into. These workshops are the space where movement, presence and expression bring it to light.","Hver kropp bærer en dans den ennå ikke har våget å slippe ut. Disse verkstedene er rommet der bevegelse, tilstedeværelse og uttrykk bringer den frem i lyset."
activities.card2.desc,"Práticas de movimento consciente que ampliam a percepção, estimulam a reorganização corporal e transformam a maneira como habitamos o corpo.","Conscious movement practices that broaden perception, stimulate body reorganization and transform the way we inhabit the body.","Bevisste bevegelsespraksiser som utvider oppfatningen, stimulerer kroppslig omorganisering og forvandler måten vi bor i kroppen på."
activities.card3.desc,"Projetos comunitários que atravessam ruas e bairros, tecendo laços, criando vínculos e transformando.","Community projects that cross streets and neighborhoods, weaving ties, creating bonds and transforming.","Samfunnsprosjekter som krysser gater og nabolag, vever bånd, skaper forbindelser og transformerer."
activities.cta,"CONHEÇA NOSSA PROGRAMAÇÃO","SEE OUR SCHEDULE","SE VÅRT PROGRAM"
activities.kicker,"O que fazemos","What we do","Hva vi gjør"
activities.title,"Nossas Atividades","Our Activities","Våre Aktiviteter"
adminPage.activeAgenda,"Agenda Ativa","Active Agenda","Aktiv Timeplan"
adminPage.addToInstructorCalendar,"Adicionar à Agenda do Instrutor (Google Calendar)","Add to Instructor Calendar (Google Calendar)","Legg til i Instruktørens Kalender (Google Calendar)"
adminPage.adminTitle,"Painel Administrativo","Administrative Panel","Administrasjonspanel"
adminPage.cancel,"Cancelar","Cancel","Avbryt"
