Chave;Português (PT);Inglês (EN);Norueguês (NO)
nav.workshops;"Workshops";"Workshops";"Workshops"
nav.social;"Projeto Social";"Social Project";"Sosialt Prosjekt"
nav.agenda;"Agenda";"Schedule";"Timeplan"
nav.subscribe;"Inscreva-se";"Subscribe";"Meld deg på"
footer.desc;"Transformando vidas através do movimento e da dança. Um projeto focado em expressão e bem-estar social.";"Transforming lives through movement and dance. A project focused on expression and social well-being.";"Transformerer liv gjennom bevegelse og dans. Et prosjekt med fokus på uttrykk og sosialt velvære."
footer.links.impact;"Impacto Social";"Social Impact";"Sosial Påvirkning"
hero.subtitle1;"O movimento encontra a";"Movement meets";"Bevegelse møter"
hero.subtitle2;"Transformação.";"Transformation.";"Transformasjon."
hero.desc;"A dança e o movimento como ferramentas de expressão e bem-estar. A arte como caminho para a transformação social.";"Dance and movement as tools for expression and well-being. Art as a path to social transformation.";"Dans og bevegelse som verktøy for uttrykk og velvære. Kunst som en vei til sosial transformasjon."
hero.cta;"Explorar Workshops";"Explore Workshops";"Utforsk Workshops"
hero.seq1;"Há lugares que não existem no mapa.
Só no corpo.";"There are places that do not exist on the map.
Only in the body.";"Det er steder som ikke finnes på kartet.
Bare i kroppen."
hero.seq2 (P1);"é uma organização social que nasceu para construir esses lugares. Espaços onde a dança não é somente performance, mas sobretudo presença. Onde o movimento é mais que exercício ou alongamento, é escuta e expressão. Onde a arte não é um fim, mas o início de um encontro.";"is a social organization born to build these places. Spaces where dance is not only performance, but above all is presence. Where movement is more than exercise or stretching, it is listening and expression. Where art is not an end, but the beginning of an encounter.";"er en sosial organisasjon som ble født for å bygge disse stedene. Rom hvor dans ikke bare er opptreden, men fremfor alt er tilstedeværelse. Hvor bevegelse er mer enn trening eller tøying, det er lytting og uttrykk. Hvor kunst ikke er et mål, men begynnelsen på et møte."
hero.seq2 (P2);"O encontro consigo mesmo e o encontro que acontece quando pessoas respiram e se movem no mesmo ritmo.";"The encounter with oneself and the encounter that happens when people breathe and move at the same rhythm.";"Møtet med seg selv og møtet som skjer når folk puster og beveger seg i samme rytme."
hero.seq2 (P3);"A mudança começa na pele, quando uma pessoa redescobre sua própria força, sua criatividade, sua própria voz. E, quando isso acontece em grupo, abre-se um caminho para a transformação social, cria as condições para que as pessoas se encontrem.";"Change begins in the skin, when a person rediscovers their own strength, their creativity, their own voice. And when this happens in a group, a path opens up for social transformation, creates the conditions for people to meet.";"Endring begynner i huden, når en person gjenoppdager sin egen styrke, sin kreativitet, sin egen stemme. Og når dette skjer i en gruppe, åpnes en vei for sosial transformasjon, skaper vilkårene for at folk kan møtes."
hero.seq3;"A dança e o movimento fazem o resto.";"Dance and movement do the rest.";"Dans og bevegelse gjør resten."
activities.card1;"Cada corpo carrega uma dança que ainda não se atreveu a sair. Estes workshops são o espaço onde movimento, presença e expressão a trazem à luz.";"Every body carries a dance it hasn't yet dared to step into. These workshops are the space where movement, presence and expression bring it to light.";"Hver kropp bærer en dans den ennå ikke har våget å slippe ut. Disse verkstedene er rommet der bevegelse, tilstedeværelse og uttrykk bringer den frem i lyset."
activities.card2;"Práticas de movimento consciente que ampliam a percepção, estimulam a reorganização corporal e transformam a maneira como habitamos o corpo.";"Conscious movement practices that broaden perception, stimulate body reorganization and transform the way we inhabit the body.";"Bevisste bevegelsespraksiser som utvider oppfatningen, stimulerer kroppslig omorganisering og forvandler måten vi bor i kroppen på."
activities.card3;"Projetos comunitários que atravessam ruas e bairros, tecendo laços, criando vínculos e transformando.";"Community projects that cross streets and neighborhoods, weaving ties, creating bonds and transforming.";"Samfunnsprosjekter som krysser gater og nabolag, vever bånd, skaper forbindelser og transformerer."
phil.line1;"Movemos o corpo para aproximar pessoas";"We move the body to bring people together";"Vi beveger kroppen for å bringe folk sammen"
phil.line2;"Aproximamos pessoas para transformar comunidades.";"We bring people together to transform communities.";"Vi bringer folk sammen for å transformere samfunn."
proto.1;"O corpo guarda o que a palavra não alcança expressar. Nos workshops, o movimento torna-se linguagem e cria um espaço onde ritmo, presença e improvisação libertam o que esteve contido.";"The body holds what words cannot express. In the workshops, movement becomes a language and creates a space where rhythm, presence and improvisation set free what has been held back.";"Kroppen bevarer det som ordene ikke klarer å uttrykke. I workshopene blir bevegelsen til et språk og skaper et rom der rytme, nærvær og improvisasjon frigjør det som har vært holdt tilbake."
proto.2;"Escutar o corpo é um ato político. As práticas de movimento consciente ampliam a percepção, reorganizam padrões físicos e devolvem às pessoas a autoria sobre si mesmas.";"Listening to the body is a political act. Conscious movement practices expand perception, reorganize physical patterns and return to people the authorship over themselves.";"Å lytte til kroppen er en politisk handling. Bevisste bevegelsespraksiser utvider oppfatningen, omorganiserer fysiske mønstre og gir folk forfatterskapet over seg selv tilbake."
